date,Air transport,Rail transport,Industrial development,Power generation/non-renewable sources,RESCHEDULING AND REFINANCING,Import support (capital goods),Social/ welfare services,Telecommunications,Power generation/renewable sources,Mineral/Metal prospection and exploration
1973-01-01,0,95792628,200776443,27825666,0,291886347,0,205122036,0,0
1974-01-01,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,5135311
1975-01-01,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,11841107
1976-01-01,0,65859994,180729570,0,0,154515986,22193818,101268177,258500419,46994
1977-01-01,704628,0,352523660,0,0,253556338,0,132007996,348718518,20846552
1978-01-01,0,0,106052778,95676536,0,18579093,179918453,210273343,105991262,0
1979-01-01,73420234,57275683,308650682,0,0,264125863,13638901,0,0,33750525
1980-01-01,3088274857,21776984,816335780,1584877308,0,0,26972340,514178514,110811408,259987614
1981-01-01,4768108479,230395196,634174424,1096016261,0,40653634,644673,914341361,240636248,713107244
1982-01-01,514466891,302371098,1370602905,699994088,0,113498832,31654720,224573780,484434111,1117571002
1983-01-01,218134010,441780960,334406639,211715759,0,86619358,24671997,79964594,25073823,513432426
1984-01-01,976488278,475235242,1088866239,680944122,0,90227902,19766810,215829973,479805457,632576576
1985-01-01,287676519,134596484,940204559,182940134,1014259163,77954263,33496454,183388029,53703140,605384859
1986-01-01,695113150,34843304,625537865,102087624,0,44726766,14344384,168285454,164769263,737079395
1987-01-01,1012887955,85117635,380313458,51448529,0,60164507,11481589,110144423,107755657,679626885
1988-01-01,96497158,107365899,906410888,390801061,0,138310066,7938535,535073066,0,354874165
1989-01-01,98465542,73959565,388659858,42742542,2606246263,0,22345362,239013115,910336207,431006385
1990-01-01,254913681,938279048,887708073,70680811,2768322374,50648790,72342785,290465588,7572945,21516183
1991-01-01,310459678,185736779,1289413570,3767416,0,163177723,24186026,339762137,66239728,489983384
1992-01-01,1771359012,90394219,1885616356,1494675086,8344866729,7482017761,146417259,321971933,44999636,406513708
1993-01-01,2121584979,341385289,1689134694,388132738,63809098,49168610,35408778,240701033,90780001,36729398
1994-01-01,4211207268,167636496,1595567680,1606345960,0,0,58670556,198625039,195628395,28010396
1995-01-01,497807763,172767802,679756647,770605554,0,0,111991116,240902364,518374380,255739191
1996-01-01,742750235,391229602,829747151,919658202,0,0,93499965,992246816,120338108,293652853
1997-01-01,1605192456,694798740,766376994,1291967800,0,0,71418576,270129200,470215385,303809928
1998-01-01,634116769,657668408,308069616,961929323,0,0,212562940,323717723,12774435,87206
1999-01-01,5896935547,800042829,40875883,560713336,0,0,118053361,410867928,158385618,83138567
2000-01-01,3089373356,535115398,141462184,3523908,0,0,1419058679,449102487,5131051,134802462
2001-01-01,2461432288,78742572,494144961,425306890,0,0,418391339,116120532,204411855,2279474
2002-01-01,3409273587,317903789,29064744,308877253,0,0,189193002,334067486,47637502,18213538
2003-01-01,1605190,386716108,32437533,505564994,0,74620674,413408249,33823637,16126597,6453025
2004-01-01,513119049,678991354,7331241,1350242,0,0,796312991,3685399,458289920,1054547
2005-01-01,410669869,223491419,6703637,185195321,0,0,766717891,595366,182849973,11289609
2006-01-01,278918,697248639,9213317,616036,0,0,1499146442,198757,223553347,1474041
2007-01-01,777396,161756943,2652404,132164,0,0,395077858,243478,15479641,1498063
2008-01-01,947246,1945744781,5278467,888204,0,71540,709105782,62893,181083150,1137705
2009-01-01,2206650,1726078347,7334558,86235329,0,0,709783323,486644,242645248,552446
2010-01-01,1015388,2769998813,78456408,1612781,0,1896,260603166,2603981,178425707,0
2011-01-01,4105579,436777967,15188216,200948,0,0,128044941,774579,1036425472,1217712
2012-01-01,4397101,1619976788,2569208,49672035,0,0,70213003,1611860,389711520,545570
2013-01-01,5627464,2251372351,4937413,250838515,0,0,78053299,5520572,336238470,2839501
